Продам костюмчики для новорожденного,80 грн.,"Кривой Рог, Ингулецкий",https://www.olx.ua/obyavlenie/prodam-kostyumchiki-dlya-novorozhdennogo-IDCbMzt.html#9a1d3fc60c
Зимний конверт для новорожденного,400 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/zimniy-konvert-dlya-novorozhdennogo-IDBLYeD.html?sd=1#9a1d3fc60c
Надувной круг для купания новорожденного,70 грн.,"Кривой Рог, Ингулецкий",https://www.olx.ua/obyavlenie/naduvnoy-krug-dlya-kupaniya-novorozhdennogo-IDBiKKd.html#9a1d3fc60c
Костюм Человек для новорожденного,100 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/kostyum-chelovek-dlya-novorozhdennogo-IDForYQ.html#9a1d3fc60c
Пинетки для новорожденных,30 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/pinetki-dlya-novorozhdennyh-IDC0EGc.html#9a1d3fc60c
Повязки на голову новорожденным и деткам постарше,75 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/povyazki-na-golovu-novorozhdennym-i-detkam-postarshe-IDuR8Bq.html#9a1d3fc60c
Сумка для новорожденных,50 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/sumka-dlya-novorozhdennyh-IDGbw6G.html?sd=1#9a1d3fc60c
"Костюмчик, наборчик для новорожденного, 56р.",50 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/kostyumchik-naborchik-dlya-novorozhdennogo-56r-IDENdpJ.html#9a1d3fc60c
Детский теплый мешок конверт для новорожденного 0 - 6 месяцев,70 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/detskiy-teplyy-meshok-konvert-dlya-novorozhdennogo-0-6-mesyatsev-IDzSiP8.html#9a1d3fc60c
Комбинезоны для новорожденного до 9 мес,125 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/kombinezony-dlya-novorozhdennogo-do-9-mes-IDFZ0dU.html#9a1d3fc60c
Бодик для новорожденного,45 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/bodik-dlya-novorozhdennogo-IDG1mKo.html#9a1d3fc60c
Набор для новорожденного,120 грн.,"Кривой Рог, Терновский",https://www.olx.ua/obyavlenie/nabor-dlya-novorozhdennogo-IDF1xzu.html?sd=1#9a1d3fc60c
Набор для новорожденного,100 грн.,"Кривой Рог, Терновский",https://www.olx.ua/obyavlenie/nabor-dlya-novorozhdennogo-IDF1xFL.html?sd=1#9a1d3fc60c
"Люлька для коляски, люлька для новорожденного",200 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/lyulka-dlya-kolyaski-lyulka-dlya-novorozhdennogo-IDGF9Cj.html?sd=1#9a1d3fc60c
Костюмчик новорожденного,150 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/kostyumchik-novorozhdennogo-IDGmLu2.html?sd=1#9a1d3fc60c
Флисовый человечик для новорожденных,70 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/flisovyy-chelovechik-dlya-novorozhdennyh-IDFIckO.html?sd=1#9a1d3fc60c
Туфельки для новорожденной принцессы,,"Кривой Рог, Дзержинский",https://www.olx.ua/obyavlenie/tufelki-dlya-novorozhdennoy-printsessy-IDvWrJC.html#9a1d3fc60c
Зимний теплый конверт для новорожденного,350 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/zimniy-teplyy-konvert-dlya-novorozhdennogo-IDGkZQ3.html?sd=1#9a1d3fc60c
Шапочки зимние для новорожденных,70 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/shapochki-zimnie-dlya-novorozhdennyh-IDEYykH.html?sd=1#9a1d3fc60c
Конверт для новорожденного,300 грн.,"Кривой Рог, Дзержинский",https://www.olx.ua/obyavlenie/konvert-dlya-novorozhdennogo-IDCutFW.html#9a1d3fc60c
Слим/кенгуру для новорождённых,350 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/slim-kenguru-dlya-novorozhdennyh-IDEft5w.html#9a1d3fc60c
"Шапка для новорождённых, 0-3 мес",79 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/shapka-dlya-novorozhdennyh-0-3-mes-IDyiLyQ.html#9a1d3fc60c
Зимняя шапка на новорожденного,70 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/zimnyaya-shapka-na-novorozhdennogo-IDycNvv.html#9a1d3fc60c
Продам детскую кроватку для новорожденных,500 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/prodam-detskuyu-krovatku-dlya-novorozhdennyh-IDGmwmq.html?sd=1#e8fb414f0a
гнездышко/кокон для новорожденного,350 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/gnezdyshko-kokon-dlya-novorozhdennogo-IDD03uG.html#e8fb414f0a
Конверт для новорожденного,550 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/konvert-dlya-novorozhdennogo-IDG0mnT.html#e8fb414f0a
Одежда для новорожденных,25 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/odezhda-dlya-novorozhdennyh-IDCZgvR.html#e8fb414f0a
Одежда для новорожденных,25 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/odezhda-dlya-novorozhdennyh-IDCZgE6.html#e8fb414f0a
Конверт для новорожденных,200 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/konvert-dlya-novorozhdennyh-IDxzgtI.html#e8fb414f0a
Конверт для новорожденных,150 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/konvert-dlya-novorozhdennyh-IDye4jV.html#e8fb414f0a
Продам шапульки для новорожденной куколки.,110 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/prodam-shapulki-dlya-novorozhdennoy-kukolki-IDG0zMg.html?sd=1#e8fb414f0a
Весы Chicco Baby Comfort для новорожденных,1 000 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/vesy-chicco-baby-comfort-dlya-novorozhdennyh-IDFFSSz.html#e8fb414f0a
